name	density	smiles	can_smiles	source
bromine	3102	[Br][Br]	BrBr	https://pubchem.ncbi.nlm.nih.gov/compound/24408#section=Density&fullscreen=true
mercury	13534	[Hg]	[Hg]	https://pubchem.ncbi.nlm.nih.gov/compound/23931#section=Density&fullscreen=true
hydrazine hydrate	1029	NN.O	NN.O	https://pubchem.ncbi.nlm.nih.gov/compound/24654#section=Density&fullscreen=true
isoporpyl alcohol	785	CC(C)O	CC(C)O	https://pubchem.ncbi.nlm.nih.gov/compound/3776#section=Density&fullscreen=true
deuterochloroform	1500	[2H]C(Cl)(Cl)Cl	[2H]C(Cl)(Cl)Cl	https://www.sigmaaldrich.com/US/en/product/aldrich/151823
tert-Amyl alcohol	810	CCC(C)(C)O	CCC(C)(C)O	https://pubchem.ncbi.nlm.nih.gov/compound/6405#section=Density&fullscreen=true
2-ethoxyethanol	925	CCOCCO	CCOCCO	https://pubchem.ncbi.nlm.nih.gov/compound/8076#section=Density&fullscreen=true
propionitrile	782	CCC#N	CCC#N	https://pubchem.ncbi.nlm.nih.gov/compound/Propionitrile#section=Density&fullscreen=true
mesitylene	864	CC1=CC(=CC(=C1)C)C	Cc1cc(C)cc(C)c1	https://pubchem.ncbi.nlm.nih.gov/compound/7947#section=Density&fullscreen=true
Isohexane	655	CCCC(C)C	CCCC(C)C	https://pubchem.ncbi.nlm.nih.gov/compound/7892#section=Density&fullscreen=true
trifluoromethylbenzene	1181	C1=CC=C(C=C1)C(F)(F)F	FC(F)(F)c1ccccc1	https://pubchem.ncbi.nlm.nih.gov/compound/7368#section=Density&fullscreen=true
Dowtherm	1181	C1=CC=C(C=C1)C2=CC=CC=C2.C1=CC=C(C=C1)OC2=CC=CC=C2	c1ccc(-c2ccccc2)cc1.c1ccc(Oc2ccccc2)cc1	https://pubchem.ncbi.nlm.nih.gov/compound/24670#section=Density&fullscreen=true
butyronitrile	794	CCCC#N	CCCC#N	https://pubchem.ncbi.nlm.nih.gov/compound/n-butyronitrile#section=Density&fullscreen=true
tert-butyl acetate	867	CC(=O)OC(C)(C)C	CC(=O)OC(C)(C)C	https://pubchem.ncbi.nlm.nih.gov/compound/10908#section=Density&fullscreen=true
propylene glycol	1036	CC(O)CO	CC(O)CO	https://pubchem.ncbi.nlm.nih.gov/compound/1030#section=Density&fullscreen=true
"1,1,2,2-tetrachloroethane"	1595	ClC(Cl)C(Cl)Cl	ClC(Cl)C(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/6591#section=Density&fullscreen=true
"1,4-dichlorobenzene"	1248	C1=CC(=CC=C1Cl)Cl	Clc1ccc(Cl)cc1	https://pubchem.ncbi.nlm.nih.gov/compound/4685#section=Density&fullscreen=true
triethylene glycol	1125	C(COCCOCCO)O	OCCOCCOCCO	https://pubchem.ncbi.nlm.nih.gov/compound/8172#section=Density&fullscreen=true
p-cymene	857	CC1=CC=C(C=C1)C(C)C	Cc1ccc(C(C)C)cc1	https://pubchem.ncbi.nlm.nih.gov/compound/7463#section=Density&fullscreen=true
